2022-12-27 09:41:01,048 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 09:41:34,596 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 09:41:46,455 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 09:44:30,910 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 09:45:21,732 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 09:50:09,986 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 09:51:18,636 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/91a5e92d-2e06-4f30-bdef-79a37cad4346/window
2022-12-27 09:53:01,142 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 09:55:19,741 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 09:56:52,530 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 09:59:39,736 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 10:03:49,882 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 10:41:31,976 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 10:43:16,078 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
2022-12-27 10:44:27,421 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/22d9da5b-9c9e-4957-8568-6bfd823ef7a2/window
2022-12-27 10:44:27,431 | urllib3.connectionpool | [WARNING] | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))': /session/9781d676-63ef-466d-bbf4-ba519accae02/window
2022-12-27 10:45:57,012 | CrawlVideoFacebookService | [INFO] | NUMBER OF POST CRAWLED: 0
